Date,Class,Topic,Due
28-Mar,Lecture,Introduction to Class,
30-Mar,Lecture,Qunatitative Research Framework,
4-Apr,Lecture,Exploratory Data Analysis,HW 1
6-Apr,Lecture,Exploratory Data Analysis,
11-Apr,Lecture,Statistical Inference,HW 2
13-Apr,Lecture,Hypothesis Testing,
18-Apr,Lecture,Intro to Spatial Data,HW 3
20-Apr,Lecture,"Maps, Patterns and Processes",Quiz 1
25-Apr,Lecture,Point Pattern Analysis,HW 4
27-Apr,Lecture,Spatial Autocorrelation,
2-May,Lecture,Linear Regression,HW 5
4-May,Lecture,Linear Regression,
9-May,Lecture,Spatial Regression,HW 6
11-May,Lecture,Spatial Heterogeneity,
16-May,Lecture,Logistic Regression,HW 7
18-May,Lecture,Prediction Modelling,
23-May,Lecture,Spatial Interpolation,HW 8
25-May,Lecture,Spatial Interpolation,
30-May,Lecture,"Holiday, no class",HW 9
1-Jun,Lecture,Conclusion,Quiz 2
