GEOID,NAME,hisp,nhasn,nhblk,nhwhite,tpopr
06001,"Alameda County, California",367041,468356,175063,524881,1629615
06003,"Alpine County, California",117,8,18,777,1203
06005,"Amador County, California",4943,565,764,29571,37306
06007,"Butte County, California",35445,9852,3282,164184,225207
06009,"Calaveras County, California",5166,527,258,36932,45057
06011,"Colusa County, California",12539,328,186,7800,21479
06013,"Contra Costa County, California",284003,177544,93140,504818,1123678
06015,"Del Norte County, California",5281,741,484,17233,27442
06017,"El Dorado County, California",23279,7805,1614,145153,185015
06019,"Fresno County, California",509442,96128,45217,293677,971616
06021,"Glenn County, California",11407,729,212,14663,27935
06023,"Humboldt County, California",14986,3886,1389,101460,135490
06025,"Imperial County, California",150108,2263,4109,20372,179957
06027,"Inyo County, California",3894,270,172,11557,18195
06029,"Kern County, California",458907,39808,45024,310638,878744
06031,"Kings County, California",80715,5463,8916,49728,150183
06033,"Lake County, California",12445,920,1362,45957,64095
06035,"Lassen County, California",5829,462,2708,20812,31470
06037,"Los Angeles County, California",4893579,1442577,799579,2676982,10105722
06039,"Madera County, California",87852,3035,4753,54145,154440
06041,"Marin County, California",41391,14754,5463,186382,260814
06043,"Mariposa County, California",1870,168,215,14309,17658
06045,"Mendocino County, California",21402,1495,560,57682,87497
06047,"Merced County, California",155650,19593,8007,77092,267390
06049,"Modoc County, California",1317,96,65,7035,9017
06051,"Mono County, California",3815,278,53,9288,14058
06053,"Monterey County, California",250913,24213,10621,132600,433168
06055,"Napa County, California",47547,10940,2877,75010,141005
06057,"Nevada County, California",9109,1090,541,84389,98838
06059,"Orange County, California",1079172,615659,49560,1306398,3155816
06061,"Placer County, California",51131,25568,5399,276754,374985
06063,"Plumas County, California",1599,148,160,15640,18724
06065,"Riverside County, California",1130033,143855,140810,861271,2355002
06067,"Sacramento County, California",340656,225851,142416,684141,1495400
06069,"San Benito County, California",34561,1564,437,20872,58671
06071,"San Bernardino County, California",1108996,142802,168985,632557,2121220
06073,"San Diego County, California",1095458,376669,154599,1517153,3283665
06075,"San Francisco County, California",131949,292694,43961,353000,864263
06077,"San Joaquin County, California",295606,106817,48175,240170,724153
06079,"San Luis Obispo County, California",62174,9998,4958,194355,280119
06081,"San Mateo County, California",190045,207572,17457,304751,763450
06083,"Santa Barbara County, California",198556,23003,7469,200723,442996
06085,"Santa Clara County, California",498253,667561,45479,622266,1911226
06087,"Santa Cruz County, California",91096,12022,2204,157988,273263
06089,"Shasta County, California",17218,5195,1951,143919,178919
06091,"Sierra County, California",290,0,4,2509,2885
06093,"Siskiyou County, California",5218,686,669,33587,43530
06095,"Solano County, California",112098,64546,59862,169436,434981
06097,"Sonoma County, California",132018,19321,6972,319805,500943
06099,"Stanislaus County, California",240816,28680,13607,232230,535684
06101,"Sutter County, California",28910,14467,1768,45239,95583
06103,"Tehama County, California",15316,907,376,43779,63247
06105,"Trinity County, California",937,141,104,10796,13037
06107,"Tulare County, California",291867,14622,5973,135372,458809
06109,"Tuolumne County, California",6385,593,924,43565,53899
06111,"Ventura County, California",358244,59513,13416,391128,847834
06113,"Yolo County, California",66787,28880,4705,101045,212605
06115,"Yuba County, California",20479,4700,2407,42018,74644
